SMILES,Solubility
O=C([C@H](CC1=CC=CC=C1)N1C(=O)C2=CC=CC=C2C1=O)N1CCCCC1,Soluble
CC1=C(C)CC2C(C1)C(=O)N(C2=O)C1=CC=CC(O)=C1,Soluble
CC1=C(C)CC2C(C1)C(=O)N(C2=O)C1=CC=C(I)C=C1,Soluble
CCCCN1C(=O)NC2=C(CCC2)C1=O,Soluble
CC1=NC2=C(S1)C=CC1=C2C=CC2=C1N=C(C)S2,Insoluble
CC(C)OC(=O)NC1=CC=C(Br)C=C1,Soluble
O=C(NC1=CC=CC=C1)OC1CCCCC1,Soluble
CCCCCCCOC(=O)NC1=CC=C(C)C=C1,Soluble
CC1=CC=CC=C1C=C1C(=O)C2=CC=CC=C2C1=O,Soluble
O=C(NCCOC1=CC=CC=C1)C1CCCCC1,Soluble
NC(=O)C1=CC(F)=C(F)C=C1Cl,Soluble
CC1=NN=C(NC(=O)NC2=CC=CC=C2)S1,Soluble
CCC1=NN=C(NC(=O)NC2=CC=CC=C2)S1,Soluble
O=C(CC12CC3CC(CC(C3)C1)C2)NCC1=CC=CC=C1,Soluble
CC(C)(C)C1(C)OC(C(O1)C(=O)NC1CCCCC1)C(=O)NC1CCCCC1,Soluble
CC(C)S(=O)(=O)C1=CC=C(Cl)C=C1,Soluble
CC(NC(=O)C1=CC(C)=C(Cl)C=C1Cl)C1CC1,Soluble
O=C(C=CC(=O)C1=CC=CC=C1)C1=CC=CC=C1,Soluble
COC1=CC=C(C=C1)N(C(C)C1CC1)C(=O)NC1=CC=C(Cl)C=C1,Soluble
CC(C1CC1)N(CC1=CC=CC=C1)C(=O)NC1=CC=C(Cl)C=C1,Soluble
CC(C)CC(=O)NC(NC1=CC=C(O)C=C1)C(Cl)(Cl)Cl,Soluble
CC(C)CC(=O)NC(NC1=CC=CC(=C1)[N+]([O-])=O)C(Cl)(Cl)Cl,Soluble
CC1=NC(C#N)=C(O1)N1CCOCC1,Soluble
CC(C)CC(=O)NC(C(Cl)(Cl)Cl)S(=O)(=O)C1=CC=CC=C1,Soluble
CC1=CC=C(C=C1N)S(=O)(=O)C(F)(F)F,Soluble
OC(=O)CCC12CC3CC(CC(C3)C1)C2,Soluble
COC(=O)C12CC3CCC(CC(C1)(C(=O)OC)C3=O)C2=O,Soluble
ClC1=CC=C(NC(=O)NC2=CC=C3COC(=O)C3=C2)C=C1,Soluble
CC(=O)C(C(C)=O)=C1NC2=CC=CC=C2N1,Soluble
ClC1=CC=C(C=C1)S(=O)(=O)N1C(=O)C2=CC=CC3=C2C1=CC=C3,Soluble
COC1=CC=C(C=C1)C1=NC2=C(C3=C(CCCC3)S2)C(=O)O1,Soluble
